,user_id,gender,home_country,home_city,months_since_sign_up,has_children,is_married,is_family,age,age_group,avg_days_from_res_to_trip,total_number_of_sessions,total_number_of_page_clicks,total_session_duration_in_minutes,total_trips,total_discounted_trips,total_hotel_discounted_trips,total_flight_discounted_trips,total_cancelled_trips,total_flights,return_flights,total_hotel_res,total_paid_for_flights_before_disc,avg_paid_for_flights_before_disc,total_paid_for_flights_after_disc,avg_paid_for_flights_after_disc,total_disc_for_flights,avg_disc_for_flight,avg_disc_perc_for_flight,avg_disc_perc_for_hotel,total_paid_for_hotels_before_disc,avg_paid_for_hotels_before_disc,total_paid_for_hotels_after_disc,avg_paid_for_hotels_after_disc,total_disc_for_hotels,avg_disc_for_hotels,avg_num_of_rooms_per_hotel_res,avg_num_of_nights_per_hotel_res,tot_num_of_nights_for_hotel_res,num_of_diff_hotels_stayed,num_of_diff_hotel_groups_stayed,num_of_diff_hotel_cities_stayed,num_of_diff_flight_dest,num_of_diff_airlines,num_of_diff_routes,avg_num_of_seats_booked_per_flight,tot_num_of_seats_booked_for_flights,tot_number_of_checked_bags_for_flights,avg_of_checked_bags_for_flights,tot_flight_distance_km,tot_flight_dist_km,avg_flight_dist_km,booking_rate_per_session_segmentation,budget_segmentation,flyer_segmentation,customer_value,ads_per_km,discount_flight_proportion,bargain_hunter_index,avg_session_dur_min,segment
14,175032,0,0,houston,37,0,0,0,31,31-40,8.0,9,127,15.65,3,3,2,1,0,4,2,3,1109.25,554.63,1109.25,554.63,0.0,0.0,0.05,0.03,3606,1202.0,3243.6,1081.2,362.4,120.8,2.0,4.33,13,3,3,3,2,2,3,2.0,4,1,0.5,5435.270567955867,5578.176538183021,2789.0882690915105,Occasional Booker,Moderate Budget,Rare Flyer,1450.95,0.1988553055657352,0.3333333333333333,0.0033142550927622,1.7388888888888887,3
15,181157,0,0,houston,37,0,1,0,55,50+,6.0,8,153,18.81,3,3,1,2,0,6,3,3,1039.43,346.48,959.0255,319.68,80.4045,26.8,0.07,0.03,5019,1673.0,4987.8,1662.6,31.2,10.4,2.0,3.33,10,3,2,2,2,3,2,2.0,6,3,1.0,7165.354154347378,7280.744906243795,2426.914968747932,Occasional Booker,Moderate Budget,Regular Flyer,1982.2751666666663,0.1317207940052346,0.6666666666666666,0.0061469703869109,2.35125,3
16,182191,0,0,phoenix,37,1,0,0,21,18-25,0.0,8,148,88.78,0,1,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,11.0975,2
17,187212,0,0,los angeles,36,1,1,1,56,50+,9.0,8,128,15.84,3,2,1,1,0,6,3,3,1242.57,414.19,1242.57,414.19,0.0,0.0,0.07,0.02,904,301.33,904.0,301.33,0.0,0.0,1.0,2.0,6,3,3,3,3,3,3,1.0,3,2,0.67,14032.293042046487,14793.343126963877,4931.114375654625,Occasional Booker,Low Budget,Regular Flyer,715.5233333333333,0.0839952125314502,0.3333333333333333,0.0019598882924005,1.98,3
18,189676,0,0,fort worth,36,1,0,0,37,31-40,4.5,8,93,11.52,2,1,0,1,0,2,1,2,1244.31,1244.31,1244.31,1244.31,0.0,0.0,0.04,0.0,5001,2500.5,5001.0,2500.5,0.0,0.0,2.0,9.0,18,2,2,2,1,1,2,3.0,3,2,2.0,4569.096640975857,4701.072291100134,4701.072291100134,Occasional Booker,Luxury Budget,Rare Flyer,3122.655,0.2646864210864559,0.5,0.0052937284217291,1.44,0
19,190866,0,0,tallahassee,36,0,0,0,39,31-40,7.8,9,186,23.08,5,1,1,0,0,10,5,5,2081.0,416.2,2081.0,416.2,0.0,0.0,0.0,0.01,1496,299.2,1496.0,299.2,0.0,0.0,1.0,2.0,10,5,4,4,4,3,4,1.0,5,2,0.4,22695.417199497417,24237.35707780935,4847.471415561869,Rare Booker,Low Budget,Frequent Flyer,715.4,0.0858591963356133,0.0,0.0,2.5644444444444443,3
20,195192,0,0,chicago,36,0,0,0,30,26-30,16.0,8,225,27.79,1,2,1,1,0,2,1,1,394.29,394.29,394.29,394.29,0.0,0.0,0.03,0.03,320,320.0,320.0,320.0,0.0,0.0,2.0,1.0,1,1,1,1,1,1,1,2.0,2,0,0.0,2348.846178958959,2331.0194917377926,2331.0194917377926,Frequent Booker,Low Budget,Rare Flyer,714.29,0.1691491647313742,1.0,0.0050744749419412,3.47375,1
21,204943,1,1,ottawa,36,0,0,0,42,41-50,9.0,8,292,139.14,5,2,0,2,1,10,5,5,2350.58,470.12,2323.822,464.76,26.758,5.35,0.05,0.0,3979,795.8,3979.0,795.8,0.0,0.0,1.6,3.4,17,5,5,3,3,5,3,1.6,8,7,1.4,15645.455295396096,15710.279178510753,3142.05583570215,Rare Booker,Moderate Budget,Frequent Flyer,1260.5644,0.1479172950139951,0.4,0.0029583459002799,17.3925,3
22,204997,0,0,kansas city,36,0,1,0,40,31-40,8.0,8,439,186.56,2,1,1,0,2,4,2,1,488.47,244.24,488.47,244.24,0.0,0.0,0.0,0.03,284,284.0,284.0,284.0,0.0,0.0,1.0,4.0,4,1,1,1,2,2,2,1.0,2,1,0.5,5088.987534981488,5126.023729842681,2563.0118649213405,Occasional Booker,Low Budget,Rare Flyer,386.235,0.09529218469205,0.0,0.0,23.32,1
23,205044,0,1,toronto,36,1,1,1,42,41-50,7.0,9,134,16.55,3,1,0,1,0,6,3,3,2748.35,916.12,2720.6975,906.9,27.6525,9.22,0.01,0.0,5642,1880.67,5642.0,1880.67,0.0,0.0,2.0,4.67,14,3,3,2,2,3,2,2.0,6,1,0.33,15186.0604417552,14381.034036857043,4793.678012285681,Occasional Booker,High Budget,Regular Flyer,2787.565833333333,0.1891865002910879,0.3333333333333333,0.000630621667637,1.8388888888888888,3
24,206011,0,0,kansas city,36,1,0,0,41,41-50,6.5,8,156,19.48,4,3,2,1,0,8,4,3,1046.59,261.65,1024.772,256.19,21.818,5.45,0.01,0.07,1138,379.33,1138.0,379.33,0.0,0.0,1.0,3.0,9,3,3,3,4,4,4,1.0,4,1,0.25,11788.406109248011,11616.490803600624,2904.1227009001564,Rare Booker,Low Budget,Regular Flyer,540.693,0.088217002649575,0.25,0.0002205425066239,2.435,3
25,216796,0,0,cincinnati,36,0,0,0,24,18-25,0.0,8,125,65.51,0,2,1,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,8.18875,2
26,217114,2,0,long beach,36,1,1,1,21,18-25,0.0,9,59,7.48,0,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,0.8311111111111111,2
27,217136,0,0,little rock,36,1,0,0,40,31-40,6.5,8,106,13.25,2,1,0,2,0,2,1,2,539.57,539.57,539.57,539.57,0.0,0.0,0.06,0.0,659,329.5,659.0,329.5,0.0,0.0,1.0,2.0,4,2,2,2,1,1,2,1.0,1,0,0.0,5734.632813242144,6190.680887359109,6190.680887359109,Occasional Booker,Low Budget,Rare Flyer,599.285,0.0871584256752371,1.0,0.0052295055405142,1.65625,1
28,220725,0,0,stockton,35,0,0,0,42,41-50,5.666666666666666,9,316,142.32,3,2,1,1,1,6,3,2,1533.42,511.14,1533.42,511.14,0.0,0.0,0.03,0.01,962,481.0,962.0,481.0,0.0,0.0,1.0,3.5,7,2,2,2,3,3,3,1.0,3,1,0.33,18493.516685795697,18768.461881408854,6256.153960469618,Occasional Booker,Low Budget,Regular Flyer,831.8066666666666,0.0817019535052541,0.3333333333333333,0.0008170195350525,15.813333333333333,1
29,224996,0,1,halifax,35,1,0,0,44,41-50,9.0,8,102,12.62,2,1,1,0,0,4,2,1,897.61,448.81,897.61,448.81,0.0,0.0,0.0,0.03,693,693.0,693.0,693.0,0.0,0.0,1.0,3.0,3,1,1,1,2,2,2,1.0,2,0,0.0,9412.043049473215,9952.513051386064,4976.256525693032,Occasional Booker,Moderate Budget,Rare Flyer,795.305,0.0901892813770278,0.0,0.0,1.5775,1
30,226367,0,0,washington,35,0,0,0,45,41-50,7.666666666666665,8,114,14.07,3,1,0,1,0,6,3,3,889.21,296.4,883.601,294.53,5.609,1.87,0.01,0.0,1864,621.33,1864.0,621.33,0.0,0.0,1.33,1.67,5,3,3,3,3,3,3,1.33,4,2,0.67,9934.925930249685,9799.176136251586,3266.3920454171957,Occasional Booker,Low Budget,Regular Flyer,915.867,0.090170947813782,0.3333333333333333,0.0003005698260459,1.75875,3
31,228195,0,0,los angeles,35,1,0,0,28,26-30,0.0,9,116,14.37,0,1,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,1.596666666666667,2
32,228872,1,0,san antonio,35,0,0,0,36,31-40,6.5,8,126,15.74,2,1,0,1,0,2,1,2,509.21,509.21,509.21,509.21,0.0,0.0,0.09,0.0,1288,644.0,1288.0,644.0,0.0,0.0,1.0,6.5,13,2,2,2,1,1,2,1.0,1,1,1.0,5540.437918889238,5907.346079470977,5907.346079470977,Occasional Booker,Moderate Budget,Rare Flyer,898.605,0.0861994528760707,0.5,0.0038789753794231,1.9675,1
33,229009,0,0,stockton,35,0,0,0,19,18-25,9.5,8,144,35.3,2,0,0,0,1,4,2,2,1061.63,530.82,1061.63,530.82,0.0,0.0,0.0,0.0,474,237.0,474.0,237.0,0.0,0.0,1.0,1.5,3,2,2,2,2,2,2,1.0,2,1,0.5,11798.67238724796,12114.92944857728,6057.46472428864,Occasional Booker,Low Budget,Rare Flyer,767.815,0.0876298953705151,0.0,0.0,4.4125,1
34,229330,0,0,colorado springs,35,0,1,0,49,41-50,8.25,8,129,15.96,4,1,1,0,0,8,4,4,1548.11,387.03,1548.11,387.03,0.0,0.0,0.0,0.02,3849,962.25,3849.0,962.25,0.0,0.0,1.75,2.0,8,4,3,3,3,4,3,1.75,7,1,0.25,9608.955625556377,9405.52004023883,2351.3800100597077,Rare Booker,Moderate Budget,Regular Flyer,1349.2775,0.1645958961734017,0.0,0.0,1.995,3
35,232647,0,0,birmingham,35,0,0,0,19,18-25,5.0,8,100,12.52,2,1,0,1,0,2,1,1,237.1,237.1,237.1,237.1,0.0,0.0,0.03,0.0,2343,2343.0,2343.0,2343.0,0.0,0.0,1.0,11.0,11,1,1,1,1,1,2,1.0,1,1,1.0,2783.1682333017507,2873.502037217346,2873.502037217346,Occasional Booker,High Budget,Rare Flyer,1290.05,0.0825125567788369,0.5,0.0012376883516825,1.565,0
36,249521,0,1,ottawa,35,1,1,1,61,50+,8.0,8,151,18.75,2,2,2,1,0,2,1,2,642.02,642.02,642.02,642.02,0.0,0.0,0.05,0.09,391,195.5,369.4,184.7,21.6,10.8,1.0,1.5,3,2,2,2,1,1,2,1.0,1,1,1.0,7103.599881380658,7479.179902563058,7479.179902563058,Occasional Booker,Low Budget,Rare Flyer,505.71,0.0858409622932033,0.5,0.00214602405733,2.34375,1
37,252835,0,0,chicago,34,1,0,0,39,31-40,8.0,8,117,14.43,5,2,1,1,0,10,5,4,1676.55,335.31,1615.635,323.13,60.915,12.18,0.04,0.01,1460,365.0,1460.0,365.0,0.0,0.0,1.0,2.75,11,4,4,3,3,4,3,1.0,5,3,0.6,18677.78858389404,18592.39112366284,3718.478224732568,Rare Booker,Low Budget,Frequent Flyer,615.127,0.0868976448082439,0.2,0.000695181158466,1.80375,3
38,258451,0,0,miami,34,0,0,0,24,18-25,0.0,8,167,29.32,0,1,0,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,3.665,2
39,276512,0,0,austin,34,1,1,1,43,41-50,10.0,8,98,12.18,1,2,1,2,0,2,1,1,395.69,395.69,395.69,395.69,0.0,0.0,0.06,0.05,100,100.0,100.0,100.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1,1,1.0,4598.296540231668,4818.506577324746,4818.506577324746,Frequent Booker,Low Budget,Rare Flyer,495.69,0.0821188045819144,2.0,0.0098542565498297,1.5225,1
40,281952,0,0,louisville,34,0,0,0,38,31-40,8.0,8,158,19.52,2,1,1,0,0,4,2,2,684.72,342.36,684.72,342.36,0.0,0.0,0.0,0.05,263,131.5,236.3,118.15,26.7,13.35,1.0,1.0,2,2,2,2,2,2,2,1.0,2,3,1.5,7380.057604161022,7867.322287392459,3933.661143696229,Occasional Booker,Low Budget,Rare Flyer,460.51,0.0870334244597145,0.0,0.0,2.44,1
41,283325,0,0,dallas,34,0,1,0,52,50+,9.0,8,114,14.08,2,3,1,2,0,2,1,2,453.27,453.27,407.943,407.94,45.327,45.33,0.03,0.02,2884,1442.0,2884.0,1442.0,0.0,0.0,1.5,3.0,6,2,2,2,1,1,2,1.0,1,0,0.0,5300.8512253583685,5676.885893115592,5676.885893115592,Occasional Booker,Moderate Budget,Rare Flyer,1645.9715,0.0718603487335752,1.0,0.0021558104620072,1.76,1
42,290123,0,0,houston,33,0,1,0,42,41-50,6.7142857142857135,9,190,23.38,7,0,0,0,0,13,6,6,4796.11,685.16,4796.11,685.16,0.0,0.0,0.0,0.0,4827,804.5,4827.0,804.5,0.0,0.0,1.67,2.67,16,6,6,6,7,6,7,1.57,11,6,0.86,31934.51706795983,33758.770202961416,4822.681457565916,Rare Booker,Moderate Budget,Bird,1374.73,0.1420700449443289,0.0,0.0,2.5977777777777775,3
43,297546,0,0,new york,33,0,1,0,52,50+,7.0,8,207,25.72,5,1,1,0,0,8,4,5,1660.72,415.18,1660.72,415.18,0.0,0.0,0.0,0.01,3620,724.0,3542.0,708.4,78.0,15.6,1.4,5.2,26,5,4,5,4,2,5,1.5,6,3,0.75,14277.87318288468,14181.896673930538,3545.4741684826345,Rare Booker,Moderate Budget,Regular Flyer,1040.544,0.1171014031608882,0.0,0.0,3.215,3
44,298253,0,0,los angeles,33,1,1,1,48,41-50,7.0,8,98,12.24,1,2,1,2,0,2,1,0,712.42,712.42,712.42,712.42,0.0,0.0,0.11,0.04,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,1,1,1.0,1,2,2.0,7948.419685999539,8367.36210308088,8367.36210308088,Frequent Booker,Low Budget,Rare Flyer,712.42,0.0851427237429685,2.0,0.018731399223453,1.53,1
45,299476,0,0,atlanta,33,0,1,0,40,31-40,8.0,9,187,23.13,1,2,1,2,0,2,1,1,192.38,192.38,192.38,192.38,0.0,0.0,0.1,0.04,71,71.0,71.0,71.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1,0,0.0,2219.8349467107264,2180.0008144955264,2180.0008144955264,Super Booker,Low Budget,Rare Flyer,263.38,0.0882476734507636,2.0,0.0176495346901527,2.57,1
46,306165,0,0,cleveland,33,0,0,0,22,18-25,0.0,8,89,11.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,Never Booker,Low Budget,Rare Flyer,0.0,0.0,0.0,0.0,1.375,2
47,306819,0,0,new york,33,1,1,1,61,50+,4.0,8,329,141.58,1,2,1,1,1,2,1,1,50.16,50.16,50.16,50.16,0.0,0.0,0.01,0.01,370,370.0,370.0,370.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1,1,1.0,590.7394494538073,586.3622162945461,586.3622162945461,Frequent Booker,Low Budget,Rare Flyer,420.16,0.0855443932199124,1.0,0.0008554439321991,17.6975,1
48,312488,1,0,new york,33,0,1,0,32,31-40,7.0,8,76,9.46,1,2,1,1,0,2,1,1,407.1,407.1,407.1,407.1,0.0,0.0,0.06,0.05,299,299.0,299.0,299.0,0.0,0.0,1.0,1.0,1,1,1,1,1,1,1,1.0,1,1,1.0,4530.927064711195,4343.067520643385,4343.067520643385,Frequent Booker,Low Budget,Rare Flyer,706.1,0.0937355908157034,1.0,0.0056241354489422,1.1825,1
49,313724,0,0,tulsa,33,0,0,0,53,50+,13.25,8,351,148.04,4,0,0,0,1,6,3,4,1156.84,385.61,1156.84,385.61,0.0,0.0,0.0,0.0,3567,891.75,3567.0,891.75,0.0,0.0,1.5,4.0,16,4,4,4,3,3,4,1.33,4,2,0.67,10003.57669169132,10260.1679862625,3420.0559954208334,Rare Booker,Moderate Budget,Regular Flyer,1180.96,0.1127505905896386,0.0,0.0,18.505,3
50,316527,0,1,winnipeg,33,1,1,1,43,41-50,8.25,8,139,17.33,4,2,1,1,0,8,4,4,1739.89,434.97,1739.89,434.97,0.0,0.0,0.03,0.01,5670,1417.5,5658.3,1414.58,11.7,2.93,1.25,3.0,12,4,4,4,4,4,4,1.25,5,1,0.25,16118.432494227218,15525.442811537272,3881.360702884318,Rare Booker,Moderate Budget,Regular Flyer,1849.5475,0.1120670129103855,0.25,0.0008405025968279,2.16625,3
51,317688,0,0,indianapolis,33,1,0,0,42,41-50,9.0,8,133,16.53,4,2,1,2,0,8,4,4,1238.74,309.69,1238.74,309.69,0.0,0.0,0.07,0.01,1178,294.5,1172.9,293.23,5.1,1.28,1.0,1.5,6,4,4,4,4,3,4,1.0,4,2,0.5,12867.265390356017,13077.499565407588,3269.374891351897,Rare Booker,Low Budget,Regular Flyer,602.91,0.094723000662657,0.5,0.0033153050231929,2.06625,3
52,322867,0,0,mobile,33,0,0,0,47,41-50,7.0,8,82,10.26,1,2,1,2,0,2,1,1,173.04,173.04,173.04,173.04,0.0,0.0,0.06,0.03,1323,1323.0,1323.0,1323.0,0.0,0.0,1.0,7.0,7,1,1,1,1,1,1,1.0,1,1,1.0,1843.5550000303808,1839.995234854804,1839.995234854804,Frequent Booker,Moderate Budget,Rare Flyer,1496.04,0.0940437218108636,2.0,0.0112852466173036,1.2825,1
53,324191,0,0,san diego,33,0,0,0,41,41-50,10.5,8,86,10.69,2,2,1,2,0,4,2,2,99.74,49.87,99.74,49.87,0.0,0.0,0.04,0.03,1610,805.0,1610.0,805.0,0.0,0.0,1.5,4.5,9,2,2,1,1,2,1,1.5,3,1,0.5,703.0814402502773,705.0853821715843,352.54269108579217,Occasional Booker,Low Budget,Rare Flyer,854.87,0.1414580453970154,1.0,0.0056583218158806,1.33625,1
54,328590,0,0,san diego,32,0,0,0,57,50+,8.5,8,383,144.73,2,2,1,1,1,4,2,2,2203.95,1101.98,2203.95,1101.98,0.0,0.0,0.03,0.04,2945,1472.5,2596.25,1298.13,348.75,174.38,2.0,4.5,9,2,2,2,2,2,2,2.0,4,1,0.5,12170.493550076955,12786.777742379105,6393.388871189552,Occasional Booker,High Budget,Rare Flyer,2400.1,0.1723616414083329,0.5,0.0025854246211249,18.09125,1
55,330764,0,0,detroit,32,0,0,0,40,31-40,6.5,8,375,141.49,2,0,0,0,1,0,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1094,547.0,1094.0,547.0,0.0,0.0,1.0,4.5,9,2,2,2,0,0,2,0.0,0,0,0.0,0.0,0.0,0.0,Occasional Booker,Low Budget,Rare Flyer,547.0,0.0,0.0,0.0,17.68625,2
56,330893,0,0,oklahoma city,32,1,1,1,44,41-50,6.333333333333333,8,133,16.54,3,1,1,0,0,6,3,3,861.61,287.2,861.61,287.2,0.0,0.0,0.0,0.01,750,250.0,750.0,250.0,0.0,0.0,1.0,2.0,6,3,3,3,3,3,3,1.0,3,2,0.67,9496.788949351096,9620.128164616188,3206.709388205396,Occasional Booker,Low Budget,Regular Flyer,537.2033333333333,0.0895632558378057,0.0,0.0,2.0675,1
